state,county_name,fips_code,total_deaths,covid19_deaths
AK,Anchorage Municipality,2020,9439,787
AK,Fairbanks North Star Borough,2090,2257,214
AK,Matanuska-Susitna Borough,2170,2797,241
AL,Autauga County,1001,1906,197
AL,Baldwin County,1003,9048,653
AL,Blount County,1009,1951,103
AL,Calhoun County,1015,6275,670
AL,Coffee County,1031,1940,201
AL,Colbert County,1033,2808,348
AL,Covington County,1039,2178,263
AL,Cullman County,1043,4311,422
AL,Dale County,1045,1716,145
AL,Dallas County,1047,1868,211
AL,DeKalb County,1049,2851,211
AL,Escambia County,1053,1635,169
AL,Etowah County,1055,6440,767
AL,Geneva County,1061,1258,105
AL,Houston County,1069,8007,1079
AL,Jackson County,1071,2467,165
AL,Jefferson County,1073,42010,4003
AL,Lauderdale County,1077,5719,521
AL,Lee County,1081,5135,589
AL,Limestone County,1083,3300,260
AL,Madison County,1089,17531,1545
AL,Marengo County,1091,1016,126
AL,Marion County,1093,1425,129
AL,Marshall County,1095,4915,400
AL,Mobile County,1097,21724,2052
AL,Montgomery County,1101,12330,1570
AL,Morgan County,1103,5310,478
AL,Pike County,1109,1142,112
AL,Russell County,1113,1571,115
AL,St. Clair County,1115,3182,185
AL,Shelby County,1117,5529,343
AL,Talladega County,1121,3422,298
AL,Tallapoosa County,1123,2148,181
AL,Tuscaloosa County,1125,9112,1116
AL,Walker County,1127,3837,374
AR,Baxter County,5005,3656,381
AR,Benton County,5007,8266,1098
AR,Boone County,5009,1870,169
AR,Craighead County,5031,8680,1156
AR,Faulkner County,5045,4648,496
AR,Garland County,5051,7691,787
AR,Independence County,5063,2363,338
AR,Jefferson County,5069,3327,307
AR,Polk County,5113,887,115
AR,Pope County,5115,2523,163
AR,Pulaski County,5119,27256,2570
AR,Saline County,5125,3980,274
AR,Sebastian County,5131,9445,1127
AR,Union County,5139,1995,182
AR,Washington County,5143,9740,931
AR,White County,5145,3983,416
AZ,Apache County,4001,2094,178
AZ,Cochise County,4003,4478,292
AZ,Coconino County,4005,4788,508
AZ,Gila County,4007,2855,257
AZ,Graham County,4009,1307,121
AZ,Maricopa County,4013,167426,19099
AZ,Mohave County,4015,14234,1373
AZ,Navajo County,4017,4268,437
AZ,Pima County,4019,49150,4874
AZ,Pinal County,4021,10762,759
AZ,Yavapai County,4025,13090,1135
AZ,Yuma County,4027,7839,1180
CA,Alameda County,6001,41916,2628
CA,Amador County,6005,1600,103
CA,Butte County,6007,9294,789
CA,Contra Costa County,6013,31889,1754
CA,El Dorado County,6017,5537,249
CA,Fresno County,6019,33704,3278
CA,Humboldt County,6023,5289,228
CA,Imperial County,6025,4864,874
CA,Kern County,6029,27860,2711
CA,Kings County,6031,3930,581
CA,Lake County,6033,2642,121
CA,Los Angeles County,6037,292760,33055
CA,Madera County,6039,3891,388
CA,Marin County,6041,8185,375
CA,Mendocino County,6045,3282,155
CA,Merced County,6047,6319,597
CA,Monterey County,6053,10830,820
CA,Napa County,6055,4952,215
CA,Nevada County,6057,3944,191
CA,Orange County,6059,91819,8968
CA,Placer County,6061,16921,1259
CA,Riverside County,6065,76761,8556
CA,Sacramento County,6067,52884,3864
CA,San Bernardino County,6071,69599,8939
CA,San Diego County,6073,96821,7893
CA,San Francisco County,6075,25363,1159
CA,San Joaquin County,6077,23936,2571
CA,San Luis Obispo County,6079,9142,519
CA,San Mateo County,6081,18821,992
CA,Santa Barbara County,6083,13487,981
CA,Santa Clara County,6085,45247,3356
CA,Santa Cruz County,6087,7007,464
CA,Shasta County,6089,10205,829
CA,Siskiyou County,6093,2069,117
CA,Solano County,6095,14349,929
CA,Sonoma County,6097,16879,844
CA,Stanislaus County,6099,22253,2722
CA,Tehama County,6103,2365,199
CA,Tulare County,6107,13496,1587
CA,Tuolumne County,6109,2663,228
CA,Ventura County,6111,24272,1881
CA,Yolo County,6113,4730,331
CA,Yuba County,6115,3341,316
CO,Adams County,8001,16188,1766
CO,Arapahoe County,8005,18600,1567
CO,Boulder County,8013,9603,827
CO,Delta County,8029,1358,139
CO,Denver County,8031,20731,1548
CO,Douglas County,8035,7851,695
CO,El Paso County,8041,23433,2309
CO,Fremont County,8043,1970,156
CO,Jefferson County,8059,20048,1617
CO,La Plata County,8067,1756,155
CO,Larimer County,8069,11380,878
CO,Mesa County,8077,7855,793
CO,Montrose County,8085,1793,194
CO,Pueblo County,8101,8792,946
CO,Weld County,8123,7353,672
CT,Fairfield County,9001,29499,3215
CT,Hartford County,9003,37314,3843
CT,Litchfield County,9005,5849,389
CT,Middlesex County,9007,5825,567
CT,New Haven County,9009,35687,3402
CT,New London County,9011,9640,760
CT,Tolland County,9013,3040,147
CT,Windham County,9015,3647,241
DC,District of Columbia,11001,25779,2231
DE,Kent County,10001,7809,662
DE,New Castle County,10003,22575,1785
DE,Sussex County,10005,10652,999
FL,Alachua County,12001,15257,1696
FL,Bay County,12005,8863,945
FL,Brevard County,12009,31732,2428
FL,Broward County,12011,65024,6392
FL,Charlotte County,12015,11753,860
FL,Citrus County,12017,11452,944
FL,Clay County,12019,9728,1032
FL,Collier County,12021,16284,1370
FL,Columbia County,12023,4558,505
FL,Duval County,12031,44186,4311
FL,Escambia County,12033,20432,1863
FL,Flagler County,12035,6222,434
FL,Hernando County,12053,12152,1180
FL,Highlands County,12055,7568,793
FL,Hillsborough County,12057,52390,4438
FL,Indian River County,12061,9403,654
